,Judul,Deskripsi,Rubrik,Tag,Cossine Rekomend,Jaccard Recommned
37,"Test Drive Hyundai Stargazer, Intip Kenyamanan dan Fitur Canggihnya!",test drive hyundai stargazer intip nyaman fitur canggih pt hyundai motors indonesia hmid hadir hyundai stargazer gadang gadang bintang keluarga indonesia kali jurnalis radar lampung jurnalis lampung sempat test drive hyundai stargazer tipe prime warna merah keliling kota bandar lampung jalan stargazer pilih kendara rasa langsung unggul stargazer segi performa akselerasi nyaman kendara mobil stargazer stylish sporty lampu horizontal drl mobil gagah bocor hyindai stargazer baru stargazer test drive hyundai,Ekonomi Bisnis,"bocoran hyindai stargazer terbaru, stargazer, test drive, hyundai","[36, 38, 39, 40, 28]",[38 36 39 41 40]
38,Hyundai Beri Kesempatan Dapat Tiket Piala Dunia 2022,hyundai sempat tiket piala dunia hyundai sempat konsumen tiket final piala dunia qatar sempat konsumen mesan unit hyundai stargazer luncur agustus konsumen mesan unit hyundai stargazer sempat ikut undi hadiah tiket final piala dunia qatar tiket menang untung menang tiket hyundai stargazer hadir varian active trend style prime kendara banderol otr rp juta tipe rendah rp juta tipe tinggi produk baru hadir fitur bluelink hyundai semat agam fitur unggul hyundai stargazer tiket final piala dunia hyundai mobil listrik mobil,Ekonomi Bisnis,"tiket final piala dunia, hyundai, mobil listrik, mobil","[36, 37, 39, 40, 29]",[37 36 40 39 41]
39,"Intip Yuk, 43 Unit Hyundai Ramaikan GIIAS 2022",intip yuk unit hyundai ramai giias unit produk usung hyundai motors indonesia ajang gaikindo indonesia international auto giias unit kendara line produk hyundai stargazer creta ioniq new palisade santa fee staria hadir line produk ajang giias kali hyundai program milik hasil kerja hyundai dukung giat ramah lingkung woojune cha presiden direktur pt hyundai motors indonesia hyundai usaha bidang otomotif sedia mobilitas alam makna masyarakat luas hyundai henti cipta inovasi kolaborasi hadir line hyundai tampil produk layan area interaktif orientasi promo hyundai giias hyundai,Ekonomi Bisnis,"Promo hyundai, giias 2022, hyundai","[36, 38, 37, 40, 41]",[36 37 33  6  8]
40,"Jajal Mobil Listrik Hyundai, Bupati Tanggamus : Solusi Mengurangi konsumsi BBM",jajal mobil listrik hyundai bupati tanggamus solusi kurang konsumsi bbm pakai mobil listrik salah solusi kurang guna bahan bakar minyak bbm bupati tanggamus dewi handayani coba langsung mobil listrik produk hyundai rabu sempat dewi handayani kendara setir langsung mobil listrik damping hyundai jabat bupati kendara mobil listrik putar keliling jalan komplek kantor pemkab kendara mobil testimoninya bupati kendara mobil listrik berat pengoprasionalannya mudah salah solusi kurang guna bbm jaga lingkung sehat polusi udara dewi handayani bupati tanggamus dewi handajani hyundai bbm mobil listrik,Tanggamus,"Bupati tanggamus, dewi handajani, hyundai, bbm, mobil listrik","[36, 38, 39, 37, 4]",[37 38 36  2 59]
41,"Suzuki All New Ertiga Hybrid Resmi Mengaspal di Lampung, Simak Keunggulannya",suzuki new ertiga hybrid resmi aspal lampung simak unggul pt suzuki indomobil sales sis pt persada lampung raya plr sukses luncur new ertiga hybrid kota lampung sabtu stephanie azis general manager pt persada lampung raya luncur regional bandar lampung momen istimewa new ertiga hybrid lmpv favorit masyarakat lampung hadir nanti mobil suzuki new ertiga hybrid primadona sesuai butuh masyarakat lampung new ertiga hybrid suzuki,Otomotif,"new ertiga hybrid, suzuki","[36, 26, 24, 39, 27]",[36 37 38 33 32]
42,"Pasca Kerusuhan Kanjuruhan, Polri Susun Aturan Pengamanan Sepakbola",pasca rusuh kanjuruhan polri susun atur aman sepakbola pasca rusuh kanjuruhan arema fc vs baya polri susun aman tanding sepakbola akibat rusuh orang tinggal dunia polri baharu regulasi aman sepakbola wakil komandan korps brimob wadankorbrimob polri irjen pol setyo boedi moempoeni harso aku susun atur kapolri kap dasar tugas aman tanding sepakbola indonesia atur bentuk evaluasi tragedi kanjuruhan kabupaten malang jawa timur atur aman sepakbola atur sepakbola kap tragedi kanjuruhan polri,Berita Utama,"aturan pengamanan sepakbola, aturan sepakbola, perkap, tragedi kanjuruhan, polri","[43, 47, 44, 46, 45]",[43 47 44 45 46]
43,"Ingin Keadilan, Tersangka Insiden Kanjuruhan Bantah Kunci Pintu Stadion dan Desak Polisi Buka CCTV",adil sangka insiden kanjuruhan bantah kunci pintu stadion desak polisi buka cctv security officer stadion kanjuruhan malang jawa timur suko sutrisno aku perintah tutup pintu stadion rusuh kanjuruhan oktober suko sutrisno tetap sangka orang desak polisi bongkar rekam cctv bukti tetap suko sutrisno sangka langsung kapolri jenderal listyo sigit prabowo tetap security officer stadion kanjuruhan malang sangka duga lepas perintah steward tanding arema fc vs baya tinggal gerbang jaga steward tanding posisi buka pintu stadion kanjuruhan maksimal sangka kanjuruhan kanjuruhan tragedi kanjuruhan stadion kanjuruhan,Berita Utama,"tersangka kanjuruhan, kanjuruhan, tragedi kanjuruhan, stadion kanjuruhan","[46, 44, 47, 42, 45]",[42 46 47 44 45]
44,Lima Tersangka Tragedi Stadion Kanjuruhan Kembali Diperiksa Hari Ini di Polda Jatim,sangka tragedi stadion kanjuruhan periksa polda jatim polri periksa enam orang sangka tragedi stadion kanjuruhan periksa orang sangka mapolda jawa timur selasa oktober kepala divisi humas polri irjen pol dedi prasetyo sidik layang surat panggil enam sangka jalan periksa orang sangka tetap sangka enam langsung jalan periksa sidik periksa lanjut rangka tuntas perkara dalam peran peran sangka tragedi kanjuruhan arema sangka malang jawa timur,Hukum kriminal,"Tragedi Kanjuruhan, Arema, tersangka, Malang, Jawa timur","[46, 43, 47, 54, 22]",[47 46 43 42 45]
45,"Besok PSSI dan PT LIB Dipanggil TGIPF Tragedi Kanjuruhan, Berikut Ini Bocoran yang Bakal Diklarifikasi",besok pssi pt lib panggil tgipf tragedi kanjuruhan bocor klarifikasi penting klarifikasi pssi pt lib periksa tim gabung independen cari fakta tgipf tragedi kanjuruhan panggil pssi pt lib selasa oktober besok pssi panggil besok kait klarifikasi anggota tgipf tragedi kanjuruhan rhenald kasali jakarta senin oktober pssi rhenald tgipf panggil pt liga indonesia lib periksa atur tanding arema fc vs baya gelar malam tgipf tragedi kanjuruhan pssi,Sport,"tgipf, tragedi kanjuruhan, pssi","[47, 44, 43, 42, 46]",[42 44 43 47 23]
46,"6 Orang Ditetapkan Tersangka Tragedi Kanjuruhan, Berikut Peran Masing-masing Mereka",orang tetap sangka tragedi kanjuruhan peran orang sangka tetap sangka tragedi stadion kanjuruhan malang jawa timur sabtu pekan tewas orang supporter orang tetap sangka orang warga sipil unsur polisi orang warga sipil tetap sangka direktur utama lib ahmad hadian lukita ketua panitia laksana arema malang abdul haris security officer steward suko sutrisno sangka polisi kabag ops polres malang kompol wahyu setyo pranoto kasat samapta polres malang akp bambang sidik achmadi komandan kompi danki brimob polda jatim inisial akp hasdarman tragedi kanjuruhan peran sangka sangka arema malang baya,Berita Utama,"tragedi kanjuruhan, peran tersangka, 6 tersangka, arema, malang , persebaya","[44, 43, 47, 54, 42]",[43 44 42 47 45]
47,"Tragedi Kanjuruhan, Polisi Cari Penjual Dawet Viral",tragedi kanjuruhan polisi cari jual dawet viral tim investigasi polri usut edar rekam suara kait tragedi kanjuruhan perempuan aku jual dawet rekam perempuan cerita peristiwa stadion kanjuruhan malang jawa timur oktober irjen dedi prasetyo tim usut periksa rekam cctv pintu stadion kanjuruhan lokasi jual dawet dasar data wib sabtu oktober catat orang korban tragedi kanjuruhan irjen dedi prasetyo tambah orang korban luka korban tinggal dunia orang jual dawet tragedi kanjuruhan korban mabes polri viral,Berita Utama,"penjual dawet, tragedi kanjuruhan, korban, mabes polri, viral","[43, 44, 46, 42, 45]",[44 43 42 46 45]
48,"Pemerintah Rencanakan Penghentian Siaran TV Analog Per Hari Ini, Masyarakat Diharap Bersiap",perintah rencana henti siar tv analog masyarakat harap november perintah pusat menteri komunikasi informasi kominfo rencana mengentikan siar tv analog alih siar digital perintah provinsi lampung masyarakat kepala dinas komunikasi informasi statistik diskominfotik provinsi lampung ganjar jationo sebut provinsi lampung tunggu terap alih siar tv analog siar tv digital bagi langsung kirim rumah keluarga miskin syarat masuk data dtks milik televisi masuk wilayah alih layan siar tv digital ganjar sebut november siar tv analog akses masyarakat langsung coba beli stb tv analog tv digital salur tv digital kemenkominfo,Provensi,"tv analog, tv digital, saluran tv digital, kemenkominfo","[50, 53, 49, 52, 51]",[52 50 53 49 30]
49,"Modal Uang Rp 50 Ribu, Ternyata Sudah Bisa Nonton Saluran TV Digital Bareng Keluarga, Simak Caranya",modal uang rp ribu nonton salur tv digital bareng keluarga simak teknisi elektronik bagi alam tonton salur tv digital rumah modal ribu ya teknisi nama marta salur youtube nya repot beli set box stb mahal tonton siar tv digital indonesia transmisi televisi analog hapus perintah distribusi stb masyarakat bagi perangkat stb sederhana rumah langkah beli modul stb jual toko elektronik toko online harga modul stb jual rp ribu jangkau modul lembar triplek ukur modul stb lem modul stb rekat unit modul stb sederhana beli harga rp ribu sambung tv tv tabung kabel rca antena hubung modul stb tangkap siar tv digital tv analog tv digital set box,Berita Utama,"tv analog, tv digital, set top box","[50, 48, 51, 53, 52]",[48 50 52 53 51]
50,"Ini Jadwal Penghentian Siaran TV Analog ASO Di Seluruh Indonesia, dan Cara Penggunaan TV Digital Pakai STB",jadwal henti siar tv analog aso indonesia guna tv digital pakai stb jadwal henti tv analog indonesia tahap tv digital pakai stb kominfo laku henti tv analog oktober bagi wilayah jakarta bogor depok tangerang bekas jabodetabek henti siar tv analog dunia jadwal tahap tanggal november sesuai undang undang cipta kerja henti siar televisi analog kenal analog switch aso wilayah siar tv analog henti siar siar tv digital operasi cakup tv analog ganti laku bagi bantu set box stb rumah wilayah henti salur tv analog tv analog tv digital,Berita Utama,"penghentian saluran tv analog, tv analog, tv digital","[48, 53, 52, 49, 51]",[53 52 48 49 51]
51,10 Merk Set Top Box Terbaik Untuk Tv Digital Resmi Bersertifikat Kominfo,merk set box baik tv digital resmi sertifikat kominfo cari informasi set box stb rekomendasi pakai rumah yuk cek informasi kait set box stb kualitas nyaman tonton tv set box fungsi tangkap sinyal siar tv digital set box pasang tv dukung standar siar digital tv tabung layar datar merk set box stb sertifikat kominfo nexmedia na dvb t mpeg hd polytron pdv t ichiko hd akar ads ads ads venus brio tanaka t matrix apple evercross stbi nextron nt d tr evinix h sertifikat merek tv digital set box kominfo,Berita Utama,"bersertifikat, merek, tv digital, set top box, kominfo","[52, 49, 50, 53, 48]",[50 49 53 52 48]
52,WhatsApp ke Nomor Ini Biar Kamu Bisa Dapat Set Top Box Gratis,whatsapp nomor biar set box gratis masuk golong masyarakat perintah program bagi bantu set box gratis menteri kominfo masyarakat alih siar tv analog siar tv digital amanat undang undang cipta kerja uu cipta kerja pasal nomor batas henti siar televisi analog analog switch aso lambat undang bantu set box gratis aju hubung posko diri menteri kominfo posko respon cepat tangan bantu set box bawa ktp kartu tanda duduk kk kartu keluarga asli himpun radarlampung id laman publikasi menteri komunikasi informasi rabu november hubung nomor telepon chat bot whatsapp nomor aju terima bantu set box gratis uu cipta kerja siar tv analog siar tv digital stb set box harga set box gratis whatsapp perintah,Berita Utama,"159, uu cipta kerja, siaran tv analog, siaran tv digital, stb, set top box, harga set top box, gratis, whatsapp, pemerintah","[53, 50, 51, 48, 49]",[50 53 48 49 51]
53,"Ibu Ini Curhat soal TV Analog Disuntik Mati, Anak Nangis Tak Bisa Nonton Karena Tidak Mampu Beli Set Top Box",curhat tv analog suntik mati anak nang nonton beli set box ramai bincang jagat maya video curhatan anak menang beli set box lansir video edar sang curhat lantar anak menang tonton televisi ya kominfo perintah henti siar tv analog ganti tv digital sesuai undang undang cipta kerja perintah alih siar televisi wilayah nkri alih siar televisi wilayan nkri sistem analog sistem digital november program analog switch aso tv analog tv digital kominfo viral presiden jokowi,VIRAL & VIDEO,"tv analog, tv digital, kominfo, viral, presiden jokowi","[50, 48, 52, 51, 49]",[50 52 48 49 51]
54,Oknum Jaksa di Lampung Utara Tersangka Kepemilikan 200 Butir Pil Alfarozolam,oknum jaksa lampung utara sangka milik butir pil alfarozolam oknum jaksa jalan periksa sat narkoba polres lampung utara lampura milik butir pil psikotropika golong butir merek alfarozolam polres buka suara oknum inisial cr tetap sangka milik barang larang turut satnarkoba jalan rangkai periksa cr milik butir psikotropika golong sita barang bukti dalam sangka tahan sangkut koperatif obat sat narkoba polres lampura panggil mes sang oknum jaksa kejar kotabumi kejar kotabumi oknum jaksa narkotika narkoba,Lampung Utara,"Kejari Kotabumi, oknum jaksa, narkotika, narkoba","[55, 44, 57, 59, 46]",[59 55 57 56 44]
55,"Polisi Gagalkan Upaya Penyeludupan Psikotropika di Rutan, Begini Modusnya",polisi gagal upaya seludup psikotropika rutan modus upaya seludup psikotropika obat obat larang salah narapidana napi rutan kelas ii b menggala hasil gagal satu reserse narkoba satresnarkoba polres tulang bawang kasatres narkoba polres tulang bawang akp aris satrio sujatmiko peristiwa nl paket antar langsung kurir jasa kirim rumah laku anthony inka fedora warga desa kurung nyawa kecamataan gedong tata kabupaten sawar narapidana narkotika polisi sita barang bukti bb butir pil alprazolam butir pil riklona clonazepam butir pil calmlet alprazolam unit handphone hp android merek oppo warna putih iphone tugas informasi transaksi narkotika jenis sabu rumah umbul kemiling tugas gerebek hasil tangkap laku napi rutan narkoba,Berita Utama,"napi, rutan, narkoba","[58, 59, 54, 57, 56]",[59 58 54 57 56]
56,"Soal 4 Pelaku Penyalahgunaan Narkoba yang Dibebaskan Polresta, BNNP Lampung Belum Terima Surat Asesmen",laku penyalahgunaan narkoba bebas polresta bnnp lampung terima surat asesmen badan narkotika nasional provinsi bnnp lampung terima surat rekomendasi asesmen satresnarkoba bandar lampung inisial ds hn fh rk laku duga penyalahgunaan narkotika jenis sabu sabu barang bukti bawah gram urine positif pidana tim asesmen padu tat hukum tat medis rehab mana rehab rawat jalan polresta bandar lampung aman orang penyalahguna narkotika tanggal oktober orang serah rehabilitasi panti ipwl bebas duga bnnp lampung duga polresta bandar lampung penyalahgunaan narkoba narkoba,Hukum kriminal,"dibebaskan, 4 terduga, bnnp lampung, terduga, polresta bandar lampung, penyalahgunaan narkoba, narkoba","[59, 58, 55, 57, 54]",[59 58 57 54 55]
57,"Musnahkan Barang Bukti Narkoba Ratusan Kilogram dan Ribuan Pil Terlarang, Begini Atensi Polda Lampung",musnah barang bukti narkoba ratus kilogram ribu pil larang atensi polda lampung polda lampung jajar gelar konferensi pers ungkap musnah barang bukti bb rs imanuel bandar lampung bb musnah sabu sabu ss gram ganja gram ekstasi butir happy butir estimasi nilai ekonomis bb rp asumsi ganja nila rp ss nila rp butir ekstasi nila rp butir happy nila rp selamat jiwa asumsi gram ganja konsumsi orang gram ss orang butir ekstasi orang butir happy orang bb musnah mesin incinerator rs imanuel bandarlampung musnah bb narkoba tuju kuat anggota musnah barang bukti polda lampung narkoba,Hukum kriminal,"pemusnahan, barang bukti, polda lampung, narkoba","[54, 55, 59, 29, 28]",[56 54 59 55 29]
58,"Heboh Video Penangkapan Pengedar Sabu, Polisi Dihalangi, Dilempar Batu, Sampai Keluarkan Tembakan Peringatan",heboh video tangkap edar sabu polisi halang lempar batu keluar tembak ingat peristiwa tangkap laku edar gelap narkotika jenis sabu camat menggala tulang bawang heboh pasal tangkap tugas satu reserse narkoba satresnarkoba polres tulang bawang halang halang lempari batu tugas keluar tembak ingat udara polisi tangkap orang laku heri ismail warga kampung bujung tenuk camat menggala tugas gerebek lokasi tugas hasil tangkap orang laki laki duga tindak pidana narkotika laku tahan mapolres tulang bawang kena pasal ayat undang undang republik indonesia nomor narkotika polres tulang bawang edar sabu narkoba,tulang bawang,"polres tulang bawang, pengedar, sabu, narkoba","[55, 59, 11, 56, 54]",[55 59 56 11 47]
59,"Warga Pringsewu Ditangkap, BB Sabu dan Bong",warga pringsewu tangkap bb sabu bong anggota satresnarkoba polres pringsewu aman aw warga gadingrejo duga libat penyalahgunaan narkoba rekan kabur gerebek camat gadingrejo sabtu oktober polisi sita barang bukti sabu sisa pakai berat gram bong laku salah satu milik rumah hasil lari laku kabur kejar informasi masyarakat hasil lidi anggota satresnarkoba aman wilayah desa muara jaya camat sukadana rabu oktober polisi sita barang bukti plastik klip bening dalam isi kristal putih duga narkotika golong jenis sabu sabu gerebek polisi sita barang bukti plastik klip bening dalam isi kristal putih duga keras narkotika golong jenis sabu sabu polres pringsewu barang bukti satresnarkoba sabu narkoba,Pringsewu,"polres pringsewu, barang bukti, satresnarkoba, sabu, narkoba","[58, 55, 56, 57, 54]",[55 58 56 54 57]
